"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"13",1158143,"4153626","2017","2021","1995","TCHC","14","Toronto-Danforth","1167 QUEEN ST E","5","40","2021-12-24","77","Evaluation needs to be conducted in 2 years","18","4","4","5","4","3","4","2","4","3","N/A","3","5","5","3","4","4","4","4","4","N/A","S1441","43.6624909475","-79.3328836483","318262.632","4835628.983"
"14",1158144,"4153605","2017","2021","1931","PRIVATE","14","Toronto-Danforth","9 TENNIS CRES","4","54","2021-12-24","85","Evaluation needs to be conducted in 2 years","15","4","5","5","4","3","4","N/A","4","N/A","4","4","4","5","5","5","4","N/A","4","N/A","N/A","S1428","43.6726051315","-79.3542475992","316537.683","4836749.389"
"15",1158145,"4154124","2017","2021","1955","PRIVATE","14","Toronto-Danforth","65 GAMBLE AVE","6","48","2021-12-24","84","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","4","N/A","4","4","4","4","5","5","5","4","4","5","4","3","N/A","S1421","43.689657175","-79.3516154158","316746.563","4838644.181"
"16",1158146,"4154123","2017","2021","1960","PRIVATE","14","Toronto-Danforth","51 GAMBLE AVE","6","49","2021-12-24","78","Evaluation needs to be conducted in 2 years","17","4","5","5","3","4","4","N/A","3","3","N/A","3","4","5","3","4","4","5","4","3","N/A","S1421","43.6895687051","-79.3520550359","316711.144","4838634.294"
"17",1158147,"4153632","2017","2021","1993","TCHC","14","Toronto-Danforth","29 LOUVAIN AVE","4","51","2021-12-24","71","Evaluation needs to be conducted in 2 years","17","4","4","5","2","4","2","3","2","4","N/A","3","3","5","4","3","4","4","4","N/A","N/A","S1435","43.6625439374","-79.3369204531","317937.063","4835634.227"
"18",1158148,"4153620","2017","2021","1989","SOCIAL HOUSING","14","Toronto-Danforth","970 EASTERN AVE","4","14","2021-12-24","69","Evaluation needs to be conducted in 2 years","16","3","4","5","2","3","3","N/A","3","N/A","N/A","3","3","5","3","3","3","4","4","N/A","4","S1442","43.6636837516","-79.3210818522","319214.185","4835763.44"
"19",1158149,"4153608","2017","2021","1972","TCHC","14","Toronto-Danforth","717 BROADVIEW AVE","8","69","2021-12-24","94","Evaluation needs to be conducted in 3 years","18","5","5","5","5","5","5","5","4","5","N/A","4","5","5","5","5","4","N/A","5","4","4","S1428","43.6751635121","-79.3574685355","316277.466","4837033.163"
"20",1158150,"4153621","2017","2021","1995","SOCIAL HOUSING","14","Toronto-Danforth","137 SEARS ST","3","17","2021-12-24","80","Evaluation needs to be conducted in 2 years","17","4","4","5","4","4","4","N/A","3","N/A","N/A","4","4","5","4","3","4","4","4","4","4","S1442","43.663039249","-79.32501186","318897.114","4835692.138"
"21",1158151,"4269424","2017","2021","1950","SOCIAL HOUSING","14","Toronto-Danforth","793 GERRARD ST E","5","28","2021-12-23","61","Evaluation needs to be conducted in 1 year","15","3","3","5","3","3","5","N/A","2","N/A","N/A","3","4","2","3","2","3","N/A","3","2","N/A","S1434","43.6667648172","-79.3456335069","317233.48","4836101.799"
"22",1158152,"4153633","2017","2021","1993","SOCIAL HOUSING","14","Toronto-Danforth","1070 QUEEN ST E","5","177","2021-12-23","86","Evaluation needs to be conducted in 3 years","18","4","5","5","4","4","4","4","3","4","N/A","4","5","5","4","4","4","5","5","4","N/A","S1435","43.6620660934","-79.3367847076","317948.115","4835581.161"
"23",1158153,"4155277","2018","2021","1955","PRIVATE","03","Etobicoke-Lakeshore","323 PARK LAWN RD","5","48","2021-12-23","76","Evaluation needs to be conducted in 2 years","17","4","4","4","4","4","4","N/A","4","4","N/A","3","4","5","3","4","4","4","3","3","N/A","W0327","43.6371995411","-79.493365223","305319.61","4832805.873"
"24",1158154,"4270534","2017","2021","1981","PRIVATE","02","Etobicoke Centre","105 CLEMENT RD","7","195","2021-12-23","91","Evaluation needs to be conducted in 3 years","16","4","5","5","4","5","5","N/A","5","4","N/A","4","5","5","4","5","4","N/A","4","N/A","5","W0221","43.680522919","-79.55416175","300417.27","4837621.239"
"25",1158155,"4240826","2017","2021","1968","PRIVATE","13","Toronto Centre","240 WELLESLEY ST E","29","554","2021-12-23","71","Evaluation needs to be conducted in 2 years","18","4","3","5","2","3","4","4","4","4","N/A","3","3","5","2","4","4","4","3","3","N/A","S1323","43.6680679061","-79.3717553706","315147.721","4836236.53"
"26",1158156,"4152596","2017","2021","1964","TCHC","20","Scarborough Southwest","682 WARDEN AVE","15","223","2021-12-23","60","Evaluation needs to be conducted in 1 year","19","2","4","5","3","3","3","2","4","2","N/A","2","3","3","3","2","3","3","3","4","3","E2028","43.705953312","-79.279044598","322591.704","4840468.483"
"27",1158157,"4153615","2017","2021","1978","TCHC","14","Toronto-Danforth","80 DANFORTH AVE","5","131","2021-12-23","78","Evaluation needs to be conducted in 2 years","18","4","5","5","4","4","4","3","4","4","N/A","3","3","5","4","3","4","4","4","N/A","3","S1424","43.6763304427","-79.3597559522","316092.805","4837162.489"
"28",1158158,"4155483","2017","2021","1950","PRIVATE","03","Etobicoke-Lakeshore","26 ALBERT AVE","3","23","2021-12-21","84","Evaluation needs to be conducted in 2 years","14","5","4","5","5","5","4","N/A","4","N/A","N/A","4","4","5","3","4","4","N/A","3","N/A","N/A","W0336","43.6162416017","-79.4892718985","305650.222","4830477.596"
"29",1158159,"4152560","2017","2021","1970","PRIVATE","20","Scarborough Southwest","2440 QUEEN ST E","6","24","2021-12-20","82","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","4","4","3","4","N/A","4","5","5","4","4","4","4","4","4","N/A","E2033","43.6751742383","-79.2785094053","322644.203","4837048.226"
"30",1158160,"4327367","2018","2021","1949","PRIVATE","06","York Centre","12 ROSSEAU RD","3","11","2021-12-20","76","Evaluation needs to be conducted in 2 years","15","3","3","4","3","4","4","N/A","2","N/A","N/A","4","5","5","5","3","4","N/A","5","3","N/A","N0629","43.742014423","-79.4373039157","309843.087","4844439.041"
"31",1158161,"4152677","2017","2021","1992","SOCIAL HOUSING","20","Scarborough Southwest","835-841 BIRCHMOUNT RD","6","102","2021-12-20","78","Evaluation needs to be conducted in 2 years","20","4","4","5","4","4","4","3","3","4","4","3","4","5","4","4","4","3","4","4","4","E2023","43.7294157081","-79.2774083068","322716.837","4843074.44"
"32",1158162,"4152578","2017","2021","1964","PRIVATE","20","Scarborough Southwest","2 NORTH DR","4","65","2021-12-20","78","Evaluation needs to be conducted in 2 years","17","4","3","5","4","4","3","N/A","4","4","N/A","4","4","5","3","4","4","4","3","4","N/A","E2033","43.6861001378","-79.2821331164","322348.881","4838261.291"
"33",1158163,"4167691","2017","2021","1960","PRIVATE","06","York Centre","2956 KEELE ST","3","11","2021-12-20","73","Evaluation needs to be conducted in 2 years","16","3","3","3","3","3","4","N/A","5","N/A","N/A","3","2","5","4","4","4","4","4","4","N/A","N0627","43.735513832","-79.484593132","306025.356","4843729.057"
"34",1158164,"4152573","2017","2021","1971","PRIVATE","20","Scarborough Southwest","1140 KINGSTON RD","5","34","2021-12-20","76","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","3","3","3","4","N/A","4","4","5","3","4","4","4","3","3","N/A","E2033","43.681743847","-79.2813013982","322417.201","4837777.498"
"35",1158165,"4155806","2017","2021","1950","PRIVATE","20","Scarborough Southwest","1641 KINGSTON RD","3","11","2021-12-20","63","Evaluation needs to be conducted in 1 year","16","3","3","3","3","2","3","N/A","3","N/A","3","3","3","5","3","3","4","N/A","3","3","N/A","E2034","43.690864521","-79.265477585","323718.011","4838812.556"
"36",1158166,"4155805","2017","2021","1950","PRIVATE","20","Scarborough Southwest","1633 KINGSTON RD","3","10","2021-12-20","64","Evaluation needs to be conducted in 1 year","15","3","3","3","3","2","3","N/A","4","N/A","3","3","3","5","3","3","4","N/A","3","N/A","N/A","E2034","43.690864521","-79.265477585","323718.011","4838812.556"
"37",1158167,"4156385","2017","2021","1940","PRIVATE","20","Scarborough Southwest","1481 KINGSTON RD","3","15","2021-12-20","53","Evaluation needs to be conducted in 1 year","15","3","3","2","2","2","3","N/A","3","N/A","N/A","2","2","5","3","2","2","N/A","3","3","N/A","E2034","43.688423918","-79.269500963","323393.784","4838549.187"
"38",1158168,"4154643","2017","2021","1964","PRIVATE","06","York Centre","3 GOLDFINCH CRT","15","172","2021-12-20","74","Evaluation needs to be conducted in 2 years","19","5","4","4","4","3","5","4","3","4","3","4","4","5","4","3","3","4","2","2","N/A","N0624","43.7710438597","-79.4492292912","308871.972","4847676.448"
"39",1158169,"4152619","2017","2021","1956","PRIVATE","20","Scarborough Southwest","23 ENGELHART CRES","3","11","2021-12-20","80","Evaluation needs to be conducted in 2 years","17","4","4","5","4","3","4","N/A","4","N/A","3","4","4","5","4","4","4","4","4","4","N/A","E2021","43.7223884038","-79.2991027155","320971.04","4842289.348"
"40",1158170,"4331737",NA,"2021","1954","PRIVATE","20","Scarborough Southwest","2511 GERRARD ST E","3","11","2021-12-20","68","Evaluation needs to be conducted in 2 years","15","3","3","4","3","3","3","N/A","3","N/A","N/A","3","3","4","4","4","4","N/A","4","3","N/A","E2033","43.6873957416","-79.2836217678","322228.491","4838404.904"
"41",1158171,"4152666","2020","2021","1958","PRIVATE","20","Scarborough Southwest","115 FOXRIDGE DR","3","10","2021-12-20","69","Evaluation needs to be conducted in 2 years","15","3","3","5","3","3","4","N/A","3","N/A","N/A","3","4","5","3","3","3","N/A","4","3","N/A","E2023","43.7234871181","-79.2660288594","323635.43","4842418.318"
"42",1158172,"4152618","2017","2021","1956","PRIVATE","20","Scarborough Southwest","19 ENGELHART CRES","3","11","2021-12-20","78","Evaluation needs to be conducted in 2 years","16","4","4","4","4","3","4","N/A","3","N/A","3","4","4","5","4","4","4","N/A","4","4","N/A","E2021","43.7221830841","-79.2995646388","320933.879","4842266.448"
"43",1158173,"4154616","2017","2021","1993","TCHC","06","York Centre","750 WILSON HEIGHTS BLVD","4","79","2021-12-20","86","Evaluation needs to be conducted in 3 years","18","4","4","5","4","4","4","3","5","4","N/A","4","3","5","5","4","5","N/A","5","4","5","N0624","43.7599025231","-79.4643820727","307652.61","4846438.066"
"44",1158174,"4156379","2017","2021","1940","PRIVATE","20","Scarborough Southwest","1449 KINGSTON RD","3","14","2021-12-20","55","Evaluation needs to be conducted in 1 year","15","3","3","2","2","2","3","N/A","3","N/A","N/A","3","2","5","3","2","2","N/A","3","3","N/A","E2034","43.687794468","-79.270325262","323298.758","4838460.592"
"45",1158175,"4156035","2017","2021","1940","PRIVATE","20","Scarborough Southwest","1463 KINGSTON RD","3","14","2021-12-20","55","Evaluation needs to be conducted in 1 year","15","3","3","2","2","2","3","N/A","3","N/A","N/A","2","2","4","3","3","3","N/A","3","3","N/A","E2034","43.687961104","-79.269766888","323354.611","4838512.321"
"46",1158176,"4155224","2017","2021","1965","PRIVATE","03","Etobicoke-Lakeshore","800 ROYAL YORK RD","6","60","2021-12-17","73","Evaluation needs to be conducted in 2 years","17","4","4","4","3","5","3","N/A","4","4","2","3","4","5","3","4","4","4","2","N/A","N/A","W0325","43.638794444","-79.508763602","304076.947","4832984.053"
"47",1158177,"4154699","2017","2021","1959","PRIVATE","06","York Centre","35 CANYON AVE","21","237","2021-12-17","84","Evaluation needs to be conducted in 2 years","18","4","4","5","4","5","5","5","3","5","N/A","3","5","5","4","4","4","4","4","3","N/A","N0624","43.7579977095","-79.4369177756","309864.198","4846227.739"
"48",1158178,"4154628","2017","2021","1965","PRIVATE","06","York Centre","18 CEDARCROFT BLVD","12","117","2021-12-17","83","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","5","4","3","5","N/A","4","4","5","4","4","4","4","4","4","N/A","N0622","43.7839479718","-79.4474754127","309012.262","4849110.129"
"49",1158179,"4154626","2017","2021","1965","PRIVATE","06","York Centre","15 ROCKFORD RD","12","117","2021-12-17","81","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","5","3","3","3","N/A","4","5","5","4","4","5","4","3","4","N/A","N0622","43.7849660772","-79.4478362845","308983.144","4849223.218"
"50",1158180,"4154632","2017","2021","1964","PRIVATE","06","York Centre","12 ROCKFORD RD","13","128","2021-12-17","98","Evaluation needs to be conducted in 3 years","18","5","5","5","5","5","5","5","5","5","N/A","4","5","5","5","5","5","5","5","4","N/A","N0622","43.7860767435","-79.447735502","308991.179","4849346.616"
"51",1158181,"4154694","2017","2021","1961","PRIVATE","06","York Centre","569 SHEPPARD AVE W","13","144","2021-12-17","88","Evaluation needs to be conducted in 3 years","18","4","5","5","5","4","5","5","3","4","N/A","5","5","5","4","4","5","3","4","4","N/A","N0630","43.7553047616","-79.436948304","309861.967","4845928.563"
"52",1158182,"4167687","2017","2021","1948","TCHC","13","Toronto Centre","260 SUMACH ST","3","48","2021-12-16","66","Evaluation needs to be conducted in 2 years","16","2","4","5","2","2","3","N/A","3","N/A","N/A","2","3","5","3","4","4","3","4","4","N/A","S1330","43.66223715","-79.361553726","315950.172","4835597.5"
"53",1158183,"4154130","2017","2021","1965","PRIVATE","14","Toronto-Danforth","50 COSBURN AVE","12","173","2021-12-15","82","Evaluation needs to be conducted in 2 years","19","5","5","5","3","4","4","4","5","3","4","4","5","5","2","4","4","5","4","3","N/A","S1421","43.6891373921","-79.3519022582","316723.546","4838586.397"
"54",1158184,"4154111","2017","2021","1962","PRIVATE","14","Toronto-Danforth","25 COSBURN AVE","22","129","2021-12-15","82","Evaluation needs to be conducted in 2 years","18","4","5","5","5","4","5","3","4","5","N/A","4","5","2","4","4","4","4","4","3","N/A","S1421","43.6881435504","-79.3536043403","316586.531","4838475.75"
"55",1158185,"4155217","2017","2021","1960","PRIVATE","03","Etobicoke-Lakeshore","270 SHELDON AVE","6","74","2021-12-15","74","Evaluation needs to be conducted in 2 years","18","4","5","5","3","4","4","N/A","3","3","3","3","4","5","3","4","4","3","3","4","N/A","W0331","43.6092105194","-79.5462107894","301054.105","4829697.381"
"56",1158186,"4152613","2017","2021","1960","PRIVATE","20","Scarborough Southwest","540 BIRCHMOUNT RD","4","27","2021-12-15","73","Evaluation needs to be conducted in 2 years","16","3","4","5","4","3","4","N/A","5","N/A","N/A","3","3","5","3","3","3","3","4","3","N/A","E2029","43.7107990699","-79.2702992344","323295.275","4841007.788"
"57",1158187,"4303769","2018","2021","1968","PRIVATE","02","Etobicoke Centre","63 CALLOWHILL DR","10","112","2021-12-14","60","Evaluation needs to be conducted in 1 year","19","2","3","4","2","3","3","2","3","3","3","2","3","5","3","4","3","3","3","3","N/A","W0221",NA,NA,"299662.554","4837921.687"
"58",1158188,"4155218","2017","2021","1982","SOCIAL HOUSING","03","Etobicoke-Lakeshore","256 SHELDON AVE","7","76","2021-12-14","84","Evaluation needs to be conducted in 2 years","18","4","4","4","4","4","5","4","4","5","N/A","4","5","5","4","4","4","N/A","3","4","5","W0331","43.6084801152","-79.5465065872","301030.182","4829616.243"
"59",1158189,"4152569","2017","2021","1960","PRIVATE","20","Scarborough Southwest","1711 KINGSTON RD","3","18","2021-12-13","70","Evaluation needs to be conducted in 2 years","16","3","3","5","3","3","3","N/A","4","N/A","3","3","3","5","4","3","4","N/A","4","3","N/A","E2034","43.6922338982","-79.2630193825","323887.837","4838946.94"
"60",1158190,"4152609","2017","2021","1968","PRIVATE","20","Scarborough Southwest","3423 ST CLAIR AVE E","4","30","2021-12-13","85","Evaluation needs to be conducted in 2 years","19","4","5","5","4","4","4","4","4","5","4","4","4","5","4","4","3","5","4","5","N/A","E2029","43.7134790514","-79.2732946837","323053.066","4841304.866"
"61",1158191,"4156240","2017","2021","1969","TCHC","20","Scarborough Southwest","30 EPPLEWORTH RD","3","45","2021-12-13","70","Evaluation needs to be conducted in 2 years","16","3","3","4","3","3","4","N/A","3","N/A","N/A","3","4","3","3","4","4","4","4","4","N/A","E2023","43.727206754","-79.263241732","323854.783","4842776.82"
"62",1158192,"4156455","2017","2021","1969","TCHC","20","Scarborough Southwest","20 EPPLEWORTH RD","3","36","2021-12-13","66","Evaluation needs to be conducted in 2 years","16","3","3","3","3","3","4","N/A","3","N/A","N/A","3","4","3","3","4","4","3","3","4","N/A","E2023","43.726760854","-79.263575088","323859.729","4842772.896"
"63",1158193,"4154617","2017","2021","1959","PRIVATE","06","York Centre","81 GARTHDALE CRT","3","10","2021-12-13","72","Evaluation needs to be conducted in 2 years","17","3","4","4","3","3","3","N/A","4","N/A","3","3","3","5","5","4","3","3","4","4","N/A","N0624","43.7648967345","-79.4644796149","307644.521","4846992.893"
"64",1158194,"4154580","2017","2021","1962","TCHC","06","York Centre","12 KING HIGH AVE","3","31","2021-12-13","78","Evaluation needs to be conducted in 2 years","16","4","4","4","4","3","3","3","3","N/A","N/A","4","5","5","4","3","4","N/A","5","4","N/A","N0629","43.7362282425","-79.4430990859","309368.074","4843808.919"
"65",1158195,"4152586","2017","2021","1968","PRIVATE","20","Scarborough Southwest","2570 KINGSTON RD","10","118","2021-12-13","79","Evaluation needs to be conducted in 2 years","19","5","4","4","3","4","4","3","4","4","4","4","4","5","4","4","3","5","4","3","N/A","E2032","43.713486559","-79.2466803233","325197.68","4841311.898"
"66",1158196,"4152559","2017","2021","1954","PRIVATE","20","Scarborough Southwest","3000 QUEEN ST E","4","30","2021-12-13","89","Evaluation needs to be conducted in 3 years","16","4","5","5","4","5","5","N/A","4","N/A","5","4","5","5","4","4","4","N/A","5","3","N/A","E2033","43.6753306295","-79.2779449422","322689.673","4837065.722"
"67",1158197,"4153003","2017","2021","1922","PRIVATE","04","Parkdale-High Park","1623 QUEEN ST W","4","42","2021-12-13","72","Evaluation needs to be conducted in 2 years","15","3","4","4","4","4","4","N/A","3","N/A","4","3","3","5","3","4","3","N/A","3","N/A","N/A","S0436","43.6387814414","-79.4452145314","309204.71","4832982.945"
"68",1158198,"4152600","2017","2021","1972","PRIVATE","20","Scarborough Southwest","273 PHARMACY AVE","18","280","2021-12-13","88","Evaluation needs to be conducted in 3 years","19","5","5","5","4","5","5","4","4","5","4","4","5","4","4","5","4","4","4","4","N/A","E2028","43.7002480573","-79.2862500131","322012.917","4839832.19"
"69",1158199,"4154624","2017","2021","1979","PRIVATE","06","York Centre","300 ANTIBES DR","21","372","2021-12-13","79","Evaluation needs to be conducted in 2 years","19","5","3","4","4","5","3","3","4","5","N/A","4","4","4","4","4","4","4","4","3","4","N0622","43.7812935158","-79.450030785","308806.743","4848815.09"
"70",1158200,"4154595","2017","2021","1960","PRIVATE","06","York Centre","3884 BATHURST ST","4","28","2021-12-13","87","Evaluation needs to be conducted in 3 years","17","4","4","5","4","4","5","N/A","4","N/A","4","5","5","5","4","4","4","5","4","4","N/A","N0629","43.7422578587","-79.4357863772","309956.619","4844479.168"
"71",1158201,"4154596","2017","2021","1960","PRIVATE","06","York Centre","3880 BATHURST ST","4","58","2021-12-13","86","Evaluation needs to be conducted in 3 years","18","3","4","5","4","4","5","N/A","4","4","4","5","5","5","4","4","4","5","4","4","N/A","N0629","43.741815421","-79.4356700472","309966.025","4844430.022"
"72",1158202,"4152678","2017","2021","1971","PRIVATE","20","Scarborough Southwest","2223 EGLINTON AVE E","6","75","2021-12-13","84","Evaluation needs to be conducted in 2 years","18","4","5","5","3","4","4","3","4","5","N/A","4","5","5","5","4","3","5","4","4","N/A","E2023","43.7296310615","-79.2767123962","322772.838","4843098.516"
"73",1158203,"4154425","2017","2021","1945","PRIVATE","06","York Centre","2852 KEELE ST","3","11","2021-12-13","68","Evaluation needs to be conducted in 2 years","16","3","3","3","3","3","4","N/A","3","N/A","3","4","4","5","4","4","3","N/A","3","2","N/A","N0627","43.7314423393","-79.4836241974","306103.75","4843275.795"
"74",1158204,"4153012","2017","2021","1958","PRIVATE","04","Parkdale-High Park","150 DOWLING AVE","7","66","2021-12-12","82","Evaluation needs to be conducted in 2 years","17","5","5","5","5","5","4","N/A","3","4","3","4","5","5","3","4","3","4","3","N/A","N/A","S0436","43.6378411067","-79.4395051216","309665.443","4832878.792"
"75",1158205,"4152783","2017","2021","1964","PRIVATE","20","Scarborough Southwest","3744 ST CLAIR AVE E","6","88","2021-12-10","89","Evaluation needs to be conducted in 3 years","19","5","5","5","4","4","5","4","4","4","N/A","4","4","5","5","4","4","5","5","4","5","E2032","43.7209375824","-79.2430985709","325483.757","4842140.564"
"76",1158206,"4156598","2017","2021","2011","SOCIAL HOUSING","09","Davenport","180 SUDBURY ST","18","190","2021-12-10","78","Evaluation needs to be conducted in 2 years","19","4","4","5","4","3","3","4","4","4","N/A","3","4","5","4","4","4","4","4","4","3","S0937","43.641893011","-79.425161314","310822.114","4833330.761"
"77",1158207,"4155686","2017","2021","2003","SOCIAL HOUSING","08","Eglinton-Lawrence","651 LAWRENCE AVE W","3","24","2021-12-10","89","Evaluation needs to be conducted in 3 years","17","4","4","4","5","5","4","N/A","4","4","N/A","5","4","5","5","5","5","N/A","5","3","5","N0827","43.7161036194","-79.4429013897","309385.499","4841573.16"
"78",1158208,"4155591","2017","2021","1968","TCHC","09","Davenport","61 PELHAM PARK GDNS","17","352","2021-12-10","59","Evaluation needs to be conducted in 1 year","20","3","4","4","2","3","3","3","3","2","3","2","4","2","3","3","3","3","3","3","3","S0926","43.66925972","-79.457795659","308187.607","4836369.289"
"79",1158209,"4155062","2017","2021","1965","PRIVATE","08","Eglinton-Lawrence","370 RIDELLE AVE","28","214","2021-12-10","91","Evaluation needs to be conducted in 3 years","20","5","5","5","4","5","5","4","4","5","4","3","4","5","5","4","5","5","4","5","5","N0831","43.7046374432","-79.440751474","309559.647","4840299.426"
"80",1158210,"4155061","2017","2021","1960","PRIVATE","08","Eglinton-Lawrence","851 BRIAR HILL AVE","3","10","2021-12-10","80","Evaluation needs to be conducted in 2 years","17","4","4","4","4","4","4","N/A","4","N/A","4","4","4","4","4","4","4","4","4","4","N/A","N0831","43.7044391867","-79.4423269927","309432.683","4840277.301"
"81",1158211,"4152683","2017","2021","1968","PRIVATE","20","Scarborough Southwest","2243 EGLINTON AVE E","6","91","2021-12-10","84","Evaluation needs to be conducted in 2 years","17","4","4","5","4","4","4","N/A","5","5","N/A","3","3","5","4","4","5","4","3","5","N/A","E2023","43.7301504767","-79.2739999078","322991.213","4843156.818"
